"DateTime","Active market wallets","Active market wallets"
"2022-01-06 00:00:00",225,225
"2022-01-07 00:00:00",448,448
"2022-01-08 00:00:00",781,781
"2022-01-09 00:00:00",641,641
"2022-01-10 00:00:00",305,305
"2022-01-11 00:00:00",992,992
"2022-01-12 00:00:00",273,273
"2022-01-13 00:00:00",202,202
"2022-01-14 00:00:00",198,198
"2022-01-15 00:00:00",305,305
"2022-01-16 00:00:00",171,171
"2022-01-17 00:00:00",161,161
"2022-01-18 00:00:00",83,83
"2022-01-19 00:00:00",229,229
"2022-01-20 00:00:00",1061,1061
"2022-01-21 00:00:00",1780,1780
"2022-01-22 00:00:00",1043,1043
"2022-01-23 00:00:00",782,782
"2022-01-24 00:00:00",700,700
"2022-01-25 00:00:00",3534,3534
"2022-01-26 00:00:00",1922,1922
"2022-01-27 00:00:00",2643,2643
"2022-01-28 00:00:00",1261,1261
"2022-01-29 00:00:00",899,899
"2022-01-30 00:00:00",975,975
"2022-01-31 00:00:00",703,703
"2022-02-01 00:00:00",490,490
"2022-02-02 00:00:00",567,567
"2022-02-03 00:00:00",480,480
"2022-02-04 00:00:00",352,352
"2022-02-05 00:00:00",288,288
"2022-02-06 00:00:00",402,402
"2022-02-07 00:00:00",623,623
"2022-02-08 00:00:00",366,366
"2022-02-09 00:00:00",415,415
"2022-02-10 00:00:00",436,436
"2022-02-11 00:00:00",176,176
"2022-02-12 00:00:00",148,148
"2022-02-13 00:00:00",146,146
"2022-02-14 00:00:00",164,164
"2022-02-15 00:00:00",179,179
"2022-02-16 00:00:00",188,188
"2022-02-17 00:00:00",242,242
"2022-02-18 00:00:00",273,273
"2022-02-19 00:00:00",117,117
"2022-02-20 00:00:00",121,121
"2022-02-21 00:00:00",135,135
"2022-02-22 00:00:00",205,205
"2022-02-23 00:00:00",184,184
"2022-02-24 00:00:00",211,211
"2022-02-25 00:00:00",382,382
"2022-02-26 00:00:00",138,138
"2022-02-27 00:00:00",162,162
"2022-02-28 00:00:00",191,191
"2022-03-01 00:00:00",83,83
"2022-03-02 00:00:00",145,145
"2022-03-03 00:00:00",105,105
"2022-03-04 00:00:00",134,134
"2022-03-05 00:00:00",92,92
"2022-03-06 00:00:00",74,74
"2022-03-07 00:00:00",66,66
"2022-03-08 00:00:00",95,95
"2022-03-09 00:00:00",101,101
"2022-03-10 00:00:00",92,92
"2022-03-11 00:00:00",80,80
"2022-03-12 00:00:00",97,97
"2022-03-13 00:00:00",111,111
"2022-03-14 00:00:00",88,88
"2022-03-15 00:00:00",47,47
"2022-03-16 00:00:00",34,34
"2022-03-17 00:00:00",50,50
"2022-03-18 00:00:00",83,83
"2022-03-19 00:00:00",335,335
"2022-03-20 00:00:00",88,88
"2022-03-21 00:00:00",177,177
"2022-03-22 00:00:00",130,130
"2022-03-23 00:00:00",154,154
"2022-03-24 00:00:00",151,151
"2022-03-25 00:00:00",187,187
"2022-03-26 00:00:00",93,93
"2022-03-27 00:00:00",101,101
"2022-03-28 00:00:00",74,74
"2022-03-29 00:00:00",92,92
"2022-03-30 00:00:00",46,46
"2022-03-31 00:00:00",61,61
"2022-04-01 00:00:00",71,71
"2022-04-02 00:00:00",35,35
"2022-04-03 00:00:00",74,74
"2022-04-04 00:00:00",89,89
"2022-04-05 00:00:00",113,113
"2022-04-06 00:00:00",118,118
"2022-04-07 00:00:00",80,80
"2022-04-08 00:00:00",84,84
"2022-04-09 00:00:00",89,89
"2022-04-10 00:00:00",70,70
"2022-04-11 00:00:00",89,89
"2022-04-12 00:00:00",69,69
"2022-04-13 00:00:00",88,88
"2022-04-14 00:00:00",61,61
"2022-04-15 00:00:00",80,80
"2022-04-16 00:00:00",133,133
"2022-04-17 00:00:00",64,64
"2022-04-18 00:00:00",73,73
"2022-04-19 00:00:00",66,66
"2022-04-20 00:00:00",69,69
"2022-04-21 00:00:00",122,122
"2022-04-22 00:00:00",134,134
"2022-04-23 00:00:00",66,66
"2022-04-24 00:00:00",87,87
"2022-04-25 00:00:00",60,60
"2022-04-26 00:00:00",59,59
"2022-04-27 00:00:00",40,40
"2022-04-28 00:00:00",104,104
"2022-04-29 00:00:00",132,132
"2022-04-30 00:00:00",91,91
"2022-05-01 00:00:00",113,113
"2022-05-02 00:00:00",80,80
"2022-05-03 00:00:00",42,42
"2022-05-04 00:00:00",37,37
"2022-05-05 00:00:00",53,53
"2022-05-06 00:00:00",49,49
"2022-05-07 00:00:00",41,41
"2022-05-08 00:00:00",61,61
"2022-05-09 00:00:00",73,73
"2022-05-10 00:00:00",52,52
"2022-05-11 00:00:00",34,34
"2022-05-12 00:00:00",50,50
"2022-05-13 00:00:00",68,68
"2022-05-14 00:00:00",56,56
"2022-05-15 00:00:00",79,79